Author,Title,Text
Pablo Neruda,"I Do Not Love You Except Because I Love You ","I do not love you except because I love you;
I go from loving to not loving you,
From waiting to not waiting for you
My heart moves from cold to fire.

I love you only because it's you the one I love;
I hate you deeply, and hating you
Bend to you, and the measure of my changing love for you
Is that I do not see you but love you blindly.

Maybe January light will consume
My heart with its cruel
Ray, stealing my key to true calm.

In this part of the story I am the one who
Dies, the only one, and I will die of love because I love you,
Because I love you, Love, in fire and blood."
Pablo Neruda,"Love Sonnet XVII ","I do not love you as if you were a salt rose, or topaz
or the arrow of carnations the fire shoots off.
I love you as certain dark things are to be loved,
in secret, between the shadow and the soul.

I love you as the plant that never blooms
but carries in itself the light of hidden flowers;
thanks to your love a certain solid fragrance,
risen from the earth, lives darkly in my body.

I love you without knowing how, or when, or from where.
I love you straightforwardly, without complexities or pride;
So I love you because I know no other way

than this: where I does not exist, nor you,
so close that your hand on my chest is my hand,
so close that your eyes close as I fall asleep."
Pablo Neruda,"If You Forget Me ","I want you to know
one thing.

You know how this is:
if I look
at the crystal moon, at the red branch
of the slow autumn at my window,
if I touch
near the fire
the impalpable ash
or the wrinkled body of the log,
everything carries me to you,
as if everything that exists,
aromas, light, metals,
were little boats
that sail
toward those isles of yours that wait for me.

Well, now,
if little by little you stop loving me
I shall stop loving you little by little.

If suddenly
you forget me
do not look for me,
for I shall already have forgotten you.

If you think it long and mad,
the wind of banners
that passes through my life,
and you decide
to leave me at the shore
of the heart where I have roots,
remember
that on that day,
at that hour,
I shall lift my arms
and my roots will set off
to seek another land.

But
if each day,
each hour,
you feel that you are destined for me
with implacable sweetness,
if each day a flower
climbs up to your lips to seek me,
ah my love, ah my own,
in me all that fire is repeated,
in me nothing is extinguished or forgotten,
my love feeds on your love, beloved,
and as long as you live it will be in your arms
without leaving mine"
Pablo Neruda,"XVII (I do not love you...) ","I do not love you as if you were salt-rose, or topaz,
or the arrow of carnations the fire shoots off.
I love you as certain dark things are to be loved,
in secret, between the shadow and the soul.

I love you as the plant that never blooms
but carries in itself the light of hidden flowers;
thanks to your love a certain solid fragrance,
risen from the earth, lives darkly in my body.

I love you without knowing how, or when, or from where.
I love you straightforwardly, without complexities or pride;
so I love you because I know no other way

than this: where I does not exist, nor you,
so close that your hand on my chest is my hand,
so close that your eyes close as I fall asleep."
Pablo Neruda,"Morning (Love Sonnet XXVII) ","Naked you are simple as one of your hands;
Smooth, earthy, small, transparent, round.
You've moon-lines, apple pathways
Naked you are slender as a naked grain of wheat.

Naked you are blue as a night in Cuba;
You've vines and stars in your hair.
Naked you are spacious and yellow
As summer in a golden church.

Naked you are tiny as one of your nails;
Curved, subtle, rosy, till the day is born
And you withdraw to the underground world.

As if down a long tunnel of clothing and of chores;
Your clear light dims, gets dressed, drops its leaves,
And becomes a naked hand again."
Pablo Neruda,"Walking Around ","It so happens I am sick of being a man.
And it happens that I walk into tailorshops and movie
houses
dried up, waterproof, like a swan made of felt
steering my way in a water of wombs and ashes.

The smell of barbershops makes me break into hoarse
sobs.
The only thing I want is to lie still like stones or wool.
The only thing I want is to see no more stores, no gardens,
no more goods, no spectacles, no elevators.

It so happens that I am sick of my feet and my nails
and my hair and my shadow.
It so happens I am sick of being a man.

Still it would be marvelous
to terrify a law clerk with a cut lily,
or kill a nun with a blow on the ear.
It would be great
to go through the streets with a green knife
letting out yells until I died of the cold.

I don't want to go on being a root in the dark,
insecure, stretched out, shivering with sleep,
going on down, into the moist guts of the earth,
taking in and thinking, eating every day.

I don't want so much misery.
I don't want to go on as a root and a tomb,
alone under the ground, a warehouse with corpses,
half frozen, dying of grief.

That's why Monday, when it sees me coming
with my convict face, blazes up like gasoline,
and it howls on its way like a wounded wheel,
and leaves tracks full of warm blood leading toward the
night.

And it pushes me into certain corners, into some moist
houses,
into hospitals where the bones fly out the window,
into shoeshops that smell like vinegar,
and certain streets hideous as cracks in the skin.

There are sulphur-colored birds, and hideous intestines
hanging over the doors of houses that I hate,
and there are false teeth forgotten in a coffeepot,
there are mirrors
that ought to have wept from shame and terror,
there are umbrellas everywhere, and venoms, and umbilical
cords.

I stroll along serenely, with my eyes, my shoes,
my rage, forgetting everything,
I walk by, going through office buildings and orthopedic
shops,
and courtyards with washing hanging from the line:
underwear, towels and shirts from which slow
dirty tears are falling."
Pablo Neruda,"Saddest Poem ","I can write the saddest poem of all tonight.

Write, for instance: ""The night is full of stars,
and the stars, blue, shiver in the distance.""

The night wind whirls in the sky and sings.

I can write the saddest poem of all tonight.
I loved her, and sometimes she loved me too.

On nights like this, I held her in my arms.
I kissed her so many times under the infinite sky.

She loved me, sometimes I loved her.
How could I not have loved her large, still eyes?

I can write the saddest poem of all tonight.
To think I don't have her. To feel that I've lost her.

To hear the immense night, more immense without her.
And the poem falls to the soul as dew to grass.

What does it matter that my love couldn't keep her.
The night is full of stars and she is not with me.

That's all. Far away, someone sings. Far away.
My soul is lost without her.

As if to bring her near, my eyes search for her.
My heart searches for her and she is not with me.

The same night that whitens the same trees.
We, we who were, we are the same no longer.

I no longer love her, true, but how much I loved her.
My voice searched the wind to touch her ear.

Someone else's. She will be someone else's. As she once
belonged to my kisses.
Her voice, her light body. Her infinite eyes.

I no longer love her, true, but perhaps I love her.
Love is so short and oblivion so long.

Because on nights like this I held her in my arms,
my soul is lost without her.

Although this may be the last pain she causes me,
and this may be the last poem I write for her."
Pablo Neruda,"Tonight I Can Write ","Tonight I can write the saddest lines.

Write, for example, 'The night is starry
and the stars are blue and shiver in the distance.'

The night wind revolves in the sky and sings.

Tonight I can write the saddest lines.
I loved her, and sometimes she loved me too.

Through nights like this one I held her in my arms.
I kissed her again and again under the endless sky.

She loved me, sometimes I loved her too.
How could one not have loved her great still eyes.

Tonight I can write the saddest lines.
To think that I do not have her. To feel that I have lost her.

To hear the immense night, still more immense without her.
And the verse falls to the soul like dew to the pasture.

What does it matter that my love could not keep her.
The night is starry and she is not with me.

This is all. In the distance someone is singing. In the distance.
My soul is not satisfied that it has lost her.

My sight tries to find her as though to bring her closer.
My heart looks for her, and she is not with me.

The same night whitening the same trees.
We, of that time, are no longer the same.

I no longer love her, that's certain, but how I loved her.
My voice tried to find the wind to touch her hearing.

Another's. She will be another's. As she was before my kisses.
Her voice, her bright body. Her infinite eyes.

I no longer love her, that's certain, but maybe I love her.
Love is so short, forgetting is so long.

Because through nights like this one I held her in my arms
my soul is not satisfied that it has lost her.

Though this be the last pain that she makes me suffer
and these the last verses that I write for her.


translated by W.S. Merwin"
Pablo Neruda,"I Like For You To Be Still ","I like for you to be still
It is as though you are absent
And you hear me from far away
And my voice does not touch you
It seems as though your eyes had flown away
And it seems that a kiss had sealed your mouth
As all things are filled with my soul
You emerge from the things
Filled with my soul
You are like my soul
A butterfly of dream
And you are like the word: Melancholy

I like for you to be still
And you seem far away
It sounds as though you are lamenting
A butterfly cooing like a dove
And you hear me from far away
And my voice does not reach you
Let me come to be still in your silence
And let me talk to you with your silence
That is bright as a lamp
Simple, as a ring
You are like the night
With its stillness and constellations
Your silence is that of a star
As remote and candid

I like for you to be still
It is as though you are absent
Distant and full of sorrow
So you would've died
One word then, One smile is enough
And I'm happy;
Happy that it's not true"
Pablo Neruda,"A Song Of Despair ","The memory of you emerges from the night around me.
The river mingles its stubborn lament with the sea.

Deserted like the dwarves at dawn.
It is the hour of departure, oh deserted one!

Cold flower heads are raining over my heart.
Oh pit of debris, fierce cave of the shipwrecked.

In you the wars and the flights accumulated.
From you the wings of the song birds rose.

You swallowed everything, like distance.
Like the sea, like time. In you everything sank!

It was the happy hour of assault and the kiss.
The hour of the spell that blazed like a lighthouse.

Pilot's dread, fury of blind driver,
turbulent drunkenness of love, in you everything sank!

In the childhood of mist my soul, winged and wounded.
Lost discoverer, in you everything sank!

You girdled sorrow, you clung to desire,
sadness stunned you, in you everything sank!

I made the wall of shadow draw back,
beyond desire and act, I walked on.

Oh flesh, my own flesh, woman whom I loved and lost,
I summon you in the moist hour, I raise my song to you.

Like a jar you housed infinite tenderness.
and the infinite oblivion shattered you like a jar.

There was the black solitude of the islands,
and there, woman of love, your arms took me in.

There was thirst and hunger, and you were the fruit.
There were grief and ruins, and you were the miracle.

Ah woman, I do not know how you could contain me
in the earth of your soul, in the cross of your arms!

How terrible and brief my desire was to you!
How difficult and drunken, how tensed and avid.

Cemetery of kisses, there is still fire in your tombs,
still the fruited boughs burn, pecked at by birds.

Oh the bitten mouth, oh the kissed limbs,
oh the hungering teeth, oh the entwined bodies.

Oh the mad coupling of hope and force
in which we merged and despaired.

And the tenderness, light as water and as flour.
And the word scarcely begun on the lips.

This was my destiny and in it was my voyage of my longing,
and in it my longing fell, in you everything sank!

Oh pit of debris, everything fell into you,
what sorrow did you not express, in what sorrow are you not drowned!

From billow to billow you still called and sang.
Standing like a sailor in the prow of a vessel.

You still flowered in songs, you still brike the currents.
Oh pit of debris, open and bitter well.

Pale blind diver, luckless slinger,
lost discoverer, in you everything sank!

It is the hour of departure, the hard cold hour
which the night fastens to all the timetables.

The rustling belt of the sea girdles the shore.
Cold stars heave up, black birds migrate.

Deserted like the wharves at dawn.
Only tremulous shadow twists in my hands.

Oh farther than everything. Oh farther than everything.

It is the hour of departure. Oh abandoned one!"
Pablo Neruda,"Don't Go Far Off, Not Even For A Day ","Don't go far off, not even for a day, because --
because -- I don't know how to say it: a day is long
and I will be waiting for you, as in an empty station
when the trains are parked off somewhere else, asleep.

Don't leave me, even for an hour, because
then the little drops of anguish will all run together,
the smoke that roams looking for a home will drift
into me, choking my lost heart.

Oh, may your silhouette never dissolve on the beach;
may your eyelids never flutter into the empty distance.
Don't leave me for a second, my dearest,

because in that moment you'll have gone so far
I'll wander mazily over all the earth, asking,
Will you come back? Will you leave me here, dying?"
Pablo Neruda,"Love ","What's wrong with you, with us,
what's happening to us?
Ah our love is a harsh cord
that binds us wounding us
and if we want
to leave our wound,
to separate,
it makes a new knot for us and condemns us
to drain our blood and burn together.

What's wrong with you? I look at you
and I find nothing in you but two eyes
like all eyes, a mouth
lost among a thousand mouths that I have kissed, more beautiful,
a body just like those that have slipped
beneath my body without leaving any memory.

And how empty you went through the world
like a wheat-colored jar
without air, without sound, without substance!
I vainly sought in you
depth for my arms
that dig, without cease, beneath the earth:
beneath your skin, beneath your eyes,
nothing,
beneath your double breast scarcely
raised
a current of crystalline order
that does not know why it flows singing.
Why, why, why,
my love, why?"
Pablo Neruda,"Drunk As Drunk ","Drunk as drunk on turpentine
From your open kisses,
Your wet body wedged
Between my wet body and the strake
Of our boat that is made of flowers,
Feasted, we guide it - our fingers
Like tallows adorned with yellow metal -
Over the sky's hot rim,
The day's last breath in our sails.

Pinned by the sun between solstice
And equinox, drowsy and tangled together
We drifted for months and woke
With the bitter taste of land on our lips,
Eyelids all sticky, and we longed for lime
And the sound of a rope
Lowering a bucket down its well. Then,
We came by night to the Fortunate Isles,
And lay like fish
Under the net of our kisses."
Pablo Neruda,"Come With Me, I Said, And No One Knew (VII) ","Come with me, I said, and no one knew
where, or how my pain throbbed,
no carnations or barcaroles for me,
only a wound that love had opened.

I said it again: Come with me, as if I were dying,
and no one saw the moon that bled in my mouth
or the blood that rose into the silence.
O Love, now we can forget the star that has such thorns!

That is why when I heard your voice repeat
Come with me, it was as if you had let loose
the grief, the love, the fury of a cork-trapped wine

the geysers flooding from deep in its vault:
in my mouth I felt the taste of fire again,
of blood and carnations, of rock and scald."
Pablo Neruda,"I crave your mouth, your voice, your hair ","Don't go far off, not even for a day
Don't go far off, not even for a day,
Because I don't know how to say it - a day is long
And I will be waiting for you, as in
An empty station when the trains are
Parked off somewhere else, asleep.

Don't leave me, even for an hour, because then
The little drops of anguish will all run together,
The smoke that roams looking for a home will drift
Into me, choking my lost heart.

Oh, may your silhouette never dissolve
On the beach, may your eyelids never flutter
Into the empty distance. Don't LEAVE me for
A second, my dearest, because in that moment you'll
Have gone so far I'll wander mazily
Over all the earth, asking, will you
Come back? Will you leave me here, dying?"
Pablo Neruda,"Always ","I am not jealous
of what came before me.

Come with a man
on your shoulders,
come with a hundred men in your hair,
come with a thousand men between your breasts and your feet,
come like a river
full of drowned men
which flows down to the wild sea,
to the eternal surf, to Time!

Bring them all
to where I am waiting for you;
we shall always be alone,
we shall always be you and I
alone on earth
to start our life!"
Pablo Neruda,"XVII (Thinking, Tangling Shadows...) ","Thinking, tangling shadows in the deep solitude.
You are far away too, oh farther than anyone.
Thinking, freeing birds, dissolving images,
burying lamps.

Belfry of fogs, how far away, up there!
Stifling laments, milling shadowy hopes,
taciturn miller,
night falls on you face downward, far from the city.

Your presence is foreign, as strange to me as a thing.
I think, I explore great tracts of my life before you.
My life before anyone, my harsh life.
The shout facing the sea, among the rocks,
running free, mad, in the sea-spray.
The sad rage, the shout, the solitude of the sea.
Headlong, violent, stretched towards the sky.

You, woman, what were you there, what ray, what vane
of that immense fan? You were as far as you are now.
Fire in the forest! Burn in blue crosses.
Burn, burn, flame up, sparkle in trees of light.

It collapses, crackling. Fire. Fire.
And my soul dances, seared with curls of fire.
Who calls? What silence peopled with echoes?
Hour of nostalgia, hour of happiness, hour of solitude.
Hour that is mine from among them all!
Megaphone in which the wind passes singing.
Such a passion of weeping tied to my body.

Shaking of all the roots,
attack of all the waves!
My soul wandered, happy, sad, unending.

Thinking, burying lamps in the deep solitude.

Who are you, who are you?"
Pablo Neruda,"Clenched Soul ","We have lost even this twilight.
No one saw us this evening hand in hand
while the blue night dropped on the world.

I have seen from my window
the fiesta of sunset in the distant mountain tops.

Sometimes a piece of sun
burned like a coin in my hand.

I remembered you with my soul clenched
in that sadness of mine that you know.

Where were you then?
Who else was there?
Saying what?
Why will the whole of love come on me suddenly
when I am sad and feel you are far away?

The book fell that always closed at twilight
and my blue sweater rolled like a hurt dog at my feet.

Always, always you recede through the evenings
toward the twilight erasing statues."
Pablo Neruda,"Leaning Into The Afternoons ","Leaning into the afternoons,
I cast my sad nets towards your oceanic eyes.
There, in the highest blaze my solitude lengthens and flames;
Its arms turning like a drowning man's.
I send out red signals across your absent eyes
That wave like the sea, or the beach by a lighthouse.
You keep only darkness my distant female;
>From your regard sometimes, the coast of dread emerges.

Leaning into the afternoons,
I fling my sad nets to that sea that is thrashed
By your oceanic eyes.
The birds of night peck at the first stars
That flash like my soul when I love you.
The night, gallops on its shadowy mare
Shedding blue tassels over the land."
Pablo Neruda,"A Dog Has Died ","My dog has died.
I buried him in the garden
next to a rusted old machine.

Some day I'll join him right there,
but now he's gone with his shaggy coat,
his bad manners and his cold nose,
and I, the materialist, who never believed
in any promised heaven in the sky
for any human being,
I believe in a heaven I'll never enter.
Yes, I believe in a heaven for all dogdom
where my dog waits for my arrival
waving his fan-like tail in friendship.

Ai, I'll not speak of sadness here on earth,
of having lost a companion
who was never servile.
His friendship for me, like that of a porcupine
withholding its authority,
was the friendship of a star, aloof,
with no more intimacy than was called for,
with no exaggerations:
he never climbed all over my clothes
filling me full of his hair or his mange,
he never rubbed up against my knee
like other dogs obsessed with sex.

No, my dog used to gaze at me,
paying me the attention I need,
the attention required
to make a vain person like me understand
that, being a dog, he was wasting time,
but, with those eyes so much purer than mine,
he'd keep on gazing at me
with a look that reserved for me alone
all his sweet and shaggy life,
always near me, never troubling me,
and asking nothing.

Ai, how many times have I envied his tail
as we walked together on the shores of the sea
in the lonely winter of Isla Negra
where the wintering birds filled the sky
and my hairy dog was jumping about
full of the voltage of the sea's movement:
my wandering dog, sniffing away
with his golden tail held high,
face to face with the ocean's spray.

Joyful, joyful, joyful,
as only dogs know how to be happy
with only the autonomy
of their shameless spirit.

There are no good-byes for my dog who has died,
and we don't now and never did lie to each other.

So now he's gone and I buried him,
and that's all there is to it."
Pablo Neruda,"Ode To Wine ","Day-colored wine,
night-colored wine,
wine with purple feet
or wine with topaz blood,
wine,
starry child
of earth,
wine, smooth
as a golden sword,
soft
as lascivious velvet,
wine, spiral-seashelled
and full of wonder,
amorous,
marine;
never has one goblet contained you,
one song, one man,
you are choral, gregarious,
at the least, you must be shared.
At times
you feed on mortal
memories;
your wave carries us
from tomb to tomb,
stonecutter of icy sepulchers,
and we weep
transitory tears;
your
glorious
spring dress
is different,
blood rises through the shoots,
wind incites the day,
nothing is left
of your immutable soul.
Wine
stirs the spring, happiness
bursts through the earth like a plant,
walls crumble,
and rocky cliffs,
chasms close,
as song is born.
A jug of wine, and thou beside me
in the wilderness,
sang the ancient poet.
Let the wine pitcher
add to the kiss of love its own.

My darling, suddenly
the line of your hip
becomes the brimming curve
of the wine goblet,
your breast is the grape cluster,
your nipples are the grapes,
the gleam of spirits lights your hair,
and your navel is a chaste seal
stamped on the vessel of your belly,
your love an inexhaustible
cascade of wine,
light that illuminates my senses,
the earthly splendor of life.

But you are more than love,
the fiery kiss,
the heat of fire,
more than the wine of life;
you are
the community of man,
translucency,
chorus of discipline,
abundance of flowers.
I like on the table,
when we're speaking,
the light of a bottle
of intelligent wine.
Drink it,
and remember in every
drop of gold,
in every topaz glass,
in every purple ladle,
that autumn labored
to fill the vessel with wine;
and in the ritual of his office,
let the simple man remember
to think of the soil and of his duty,
to propagate the canticle of the wine."
